,Unintentional transboundary movements and emergency measures (Article 17),Decision 8-16 of 2016,/akn/un/statement/decision/unep-cartagena-cbd-cop/2016-12-04/8-16/eng@2016-12-04,2016-12-04,decision
,"Declaration of Public Health Emergency Coronavirus Disease (COVID-19) Pandemic Instrument, 2020",Executive Instrument 61 of 2020,/akn/gh/act/ei/2020/61/eng@2020-03-23,2020-03-23,Legislation
,"Labour Regulation, 2007",Legislative Instrument 1833 of 2007,/akn/gh/act/li/2007/1833/eng@2007-06-08,2007-06-08,Legislation
,"Activity Report of the Pan-African Parliament, July 2016 to June 2017","Activity Report of the Pan-African Parliament, July 2016 to June 2017",/akn/aa-au/doc/activity-report/2017/nn/eng@2017-07-03,2017-07-03,Activity report
,Article 8(j) and related provisions,Decision 6-10 of 2002,/akn/un/statement/decision/unep-cbd-cop/2002-04-07/6-10/eng@2002-04-07,2002-04-07,decision
,"Handling, transport, packaging and identification (Article 18)",Decision 7-8 of 2014,/akn/un/statement/decision/unep-cartagena-cbd-cop/2014-09-29/7-8/eng@2014-09-29,2014-09-29,decision
,Incentive measures,Decision 6-15 of 2002,/akn/un/statement/decision/unep-cbd-cop/2002-04-07/6-15/eng@2002-04-07,2002-04-07,decision
,Notification requirements (Article 8),Decision 6-10 of 2012,/akn/un/statement/decision/unep-cartagena-cbd-cop/2012-10-01/6-10/eng@2012-10-01,2012-10-01,decision
,Socio-economic considerations (Article 26),Decision 8-13 of 2016,/akn/un/statement/decision/unep-cartagena-cbd-cop/2016-12-04/8-13/eng@2016-12-04,2016-12-04,decision
,Ababacar and Ors vs Senegal [2018] ZAECPEHC 1 (29 June 2018),Ababacar and Ors vs Senegal [2018] ZAECPEHC 1 (29 June 2018),/akn/za-EC/judgment/ecowascj/zaecpehc/2018/1/eng@2018-06-29,2018-06-29,Judgment
,"Emergency Communications System Instrument, 2020",Executive Instrument 63 of 2020,/akn/gh/act/ei/2020/63/eng@2020-03-23,2020-03-23,Legislation
,"Luxury Vehicle Levy Act, 2018",Act 969 of 2018,/akn/gh/act/2018/969/eng@2018-08-01,2018-08-01,Legislation
,"Activity Report of the Pan-African Parliament, July 2016 to June 2017","Activity Report of the Pan-African Parliament, July 2016 to June 2017",/akn/aa-au/doc/activity-report/2017-07-03/nn/eng@2017-07-03,2017-07-03,Activity report
,Assessment processes,Decision 7-6 of 2004,/akn/un/statement/decision/unep-cbd-cop/2004-02-09/7-6/eng@2004-02-09,2004-02-09,decision
,"Handling, transport, packaging and identification of living modified organisms (Article 18)",Decision 6-8 of 2012,/akn/un/statement/decision/unep-cartagena-cbd-cop/2012-10-01/6-8/eng@2012-10-01,2012-10-01,decision
,Incentive measures: application of tools for valuation of biodiversity and biodiversity resources and functions,Decision 8-25 of 2006,/akn/un/statement/decision/unep-cbd-cop/2006-03-20/8-25/eng@2006-03-20,2006-03-20,decision
,Options for implementation of Article 8,Decision 2-8 of 2005,/akn/un/statement/decision/unep-cartagena-cbd-cop/2005-05-30/2-8/eng@2005-05-30,2005-05-30,decision
,"Socio-economic considerations (Article 26, paragraph 2)",Decision 4-16 of 2008,/akn/un/statement/decision/unep-cartagena-cbd-cop/2008-05-12/4-16/eng@2008-05-12,2008-05-12,decision
,Obi vs Federal Republic of Nigeria [2016] ECOWASCJ 52 (09 November 2016),Obi vs Federal Republic of Nigeria [2016] ECOWASCJ 52 (09 November 2016),/akn/aa-au/judgment/ecowascj/2016/52/eng@2016-11-09,2016-11-09,Judgment
,"Imposition of Restrictions (Coronavirus Disease (COVID-19) Pandemic) (No. 3) Instrument, 2020",Executive Instrument 66 of 2020,/akn/gh/act/ei/2020/66/eng@2020-04-03,2020-04-03,Legislation
,"Novel Coronavirus (COVID-19) National Trust Fund Act, 2020",Act 1013 of 2020,/akn/gh/act/2020/1013/eng@2020-04-03,2020-04-03,Legislation
,Access and benefit-sharing as related to genetic resources,Decision 6-24 of 2002,/akn/un/statement/decision/unep-cbd-cop/2002-04-07/6-24/eng@2002-04-07,2002-04-07,decision
,Article 8(j) and related provisions,Decision 5-16 of 2000,/akn/un/statement/decision/unep-cbd-cop/2000-05-15/5-16/eng@2000-05-15,2000-05-15,decision
,"Cooperation with other organizations, conventions and initiatives",Decision 2-6 of 2005,/akn/un/statement/decision/unep-cartagena-cbd-cop/2005-05-30/2-6/eng@2005-05-30,2005-05-30,decision
,"Handling, transport, packaging and identification of living modified organisms: paragraph 3 of Article 18",Decision 4-10 of 2008,/akn/un/statement/decision/unep-cartagena-cbd-cop/2008-05-12/4-10/eng@2008-05-12,2008-05-12,decision
,"The relationship of the Convention on Biological Diversity with the Commission on Sustainable Development and biodiversity-related conventions, other international agreements, institutions and processes of relevance",Decision 4-15 of 1998,/akn/un/statement/decision/unep-cbd-cop/1998-05-04/4-15/eng@2004-02-09,2004-02-09,decision
,"Imposition of Restrictions Act, 2020",Act 1012 of 2020,/akn/gh/act/2020/1012/eng@2020-03-21,2020-03-21,Legislation
